iter	Passed	Remaining
920	3565	1079
921	3568	1076
922	3572	1072
923	3576	1068
924	3580	1064
925	3583	1060
926	3587	1056
927	3591	1052
928	3594	1048
929	3598	1044
930	3602	1040
931	3606	1036
932	3610	1033
933	3613	1029
934	3617	1025
935	3621	1021
936	3625	1017
937	3629	1013
938	3632	1009
939	3636	1005
940	3640	1001
941	3644	998
942	3648	994
943	3651	990
944	3655	986
945	3659	982
946	3663	978
947	3666	974
948	3670	970
949	3674	966
950	3678	963
951	3681	959
952	3685	955
953	3689	951
954	3693	947
955	3696	943
956	3700	939
957	3704	935
958	3708	931
959	3712	928
960	3716	924
961	3720	920
962	3724	916
963	3727	912
964	3731	908
965	3735	904
966	3739	900
967	3742	897
968	3746	893
969	3750	889
970	3753	885
971	3757	881
972	3761	877
973	3765	873
974	3768	869
975	3772	865
976	3776	861
977	3780	858
978	3784	854
979	3787	850
980	3791	846
981	3795	842
982	3799	838
983	3802	834
984	3806	830
985	3810	827
986	3814	823
987	3818	819
988	3821	815
989	3825	811
990	3829	807
991	3833	803
992	3837	799
993	3841	796
994	3845	792
995	3849	788
996	3853	784
997	3856	780
998	3860	776
999	3864	772
1000	3868	769
1001	3872	765
1002	3875	761
1003	3879	757
1004	3883	753
1005	3887	749
1006	3890	745
1007	3894	741
1008	3898	737
1009	3901	734
1010	3905	730
1011	3909	726
1012	3914	722
1013	3918	718
1014	3922	714
1015	3925	710
1016	3929	707
1017	3933	703
1018	3936	699
1019	3940	695
1020	3944	691
1021	3948	687
1022	3952	683
1023	3955	679
1024	3959	676
1025	3963	672
1026	3967	668
1027	3970	664
1028	3974	660
1029	3978	656
1030	3981	652
1031	3985	648
1032	3989	644
1033	3993	641
1034	3996	637
1035	4000	633
1036	4004	629
1037	4008	625
1038	4011	621
1039	4015	617
1040	4019	613
1041	4022	610
1042	4026	606
1043	4030	602
1044	4034	598
1045	4037	594
1046	4041	590
1047	4045	586
1048	4049	582
1049	4052	578
1050	4056	575
1051	4060	571
1052	4064	567
1053	4067	563
1054	4071	559
1055	4075	555
1056	4079	551
1057	4082	547
1058	4086	544
1059	4090	540
1060	4093	536
1061	4097	532
1062	4101	528
1063	4105	524
1064	4109	520
1065	4112	516
1066	4117	513
1067	4120	509
1068	4124	505
1069	4128	501
1070	4132	497
1071	4136	493
1072	4139	489
1073	4144	486
1074	4148	482
1075	4152	478
1076	4156	474
1077	4159	470
1078	4163	466
1079	4167	463
1080	4171	459
1081	4175	455
1082	4178	451
1083	4182	447
1084	4186	443
1085	4189	439
1086	4193	435
1087	4197	432
1088	4201	428
1089	4204	424
1090	4208	420
1091	4212	416
1092	4216	412
1093	4219	408
1094	4223	405
1095	4227	401
1096	4231	397
1097	4235	393
1098	4238	389
1099	4242	385
1100	4247	381
1101	4251	378
1102	4255	374
1103	4259	370
1104	4262	366
1105	4266	362
1106	4270	358
1107	4273	354
1108	4277	351
1109	4281	347
1110	4285	343
1111	4289	339
1112	4292	335
1113	4296	331
1114	4300	327
1115	4303	323
1116	4307	320
1117	4311	316
1118	4314	312
1119	4318	308
1120	4322	304
1121	4326	300
1122	4330	296
1123	4334	293
1124	4337	289
1125	4341	285
1126	4345	281
1127	4349	277
1128	4353	273
1129	4357	269
1130	4360	266
1131	4364	262
1132	4368	258
1133	4372	254
1134	4376	250
1135	4379	246
1136	4384	242
1137	4388	239
1138	4392	235
1139	4396	231
1140	4400	227
1141	4404	223
1142	4407	219
1143	4411	215
1144	4415	212
1145	4419	208
1146	4423	204
1147	4427	200
1148	4430	196
1149	4434	192
1150	4438	188
1151	4442	185
1152	4445	181
1153	4449	177
1154	4453	173
1155	4456	169
1156	4460	165
1157	4464	161
1158	4468	158
1159	4472	154
1160	4476	150
1161	4479	146
1162	4483	142
1163	4487	138
1164	4490	134
1165	4494	131
1166	4498	127
1167	4502	123
1168	4506	119
1169	4509	115
1170	4513	111
1171	4517	107
1172	4520	104
1173	4524	100
1174	4528	96
1175	4531	92
1176	4535	88
1177	4539	84
1178	4543	80
1179	4546	77
1180	4550	73
1181	4554	69
1182	4558	65
1183	4562	61
1184	4566	57
1185	4569	53
1186	4573	50
1187	4577	46
1188	4581	42
1189	4585	38
1190	4589	34
1191	4592	30
1192	4596	26
1193	4600	23
1194	4604	19
1195	4607	15
1196	4611	11
1197	4615	7
1198	4619	3
1199	4623	0
